ID, route, distanceKm, originAirport, originCity, latitude, longitude, destinationAirport, destinationCity, latitude, longitude, dayOfWeek, departureTime, arrivalTime, flightSize
CA3367, XPK-YHZ, 2895, XPK, Pukatawagan, 55.7491989136, -101.26599884, YHZ, Halifax, 44.8807983398, -63.5085983276, 4, 16:55, 22:00, 110, 
CA2746, ZKE-YVR, 2901, ZKE, Kashechewan, 52.282501220703125, -81.67780303955078, YVR, Vancouver, 49.193901062, -123.183998108, 3, 23:20, 04:10, 81, 
CA3379, XPK-AMN, 1818, XPK, Pukatawagan, 55.7491989136, -101.26599884, AMN, Kamloops, 43.322101593, -84.68800354, 6, 05:54, 09:03, 81, 
CA731, YOW-YQB, 368, YOW, Ottawa, 45.3224983215332, -75.66919708251953, YQB, Quebec, 46.7911, -71.393303, 0, 11:58, 12:43, 81, 
CA858, YPN-YYZ, 1351, YPN, Port Menier, 49.83639907836914, -64.2885971069336, YYZ, Toronto, 43.6772003174, -79.63059997559999, 6, 15:38, 17:56, 145, 
CA397, YHK-DU9, 3018, YHK, Gjoa Haven, 68.635597229, -95.84970092770001, DU9, Dunnville, 42.872200012200004, -79.5958023071, 2, 11:48, 16:57, 81, 
CA2830, YTM-YLW, 3281, YTM, Mont-Tremblant, 46.409400939899996, -74.7799987793, YLW, Kelowna, 49.9561004639, -119.377998352, 3, 13:21, 18:19, 145, 
CA417, YHZ-YEG, 3683, YHZ, Halifax, 44.8807983398, -63.5085983276, YEG, Edmonton, 53.309700012200004, -113.580001831, 0, 07:29, 13:21, 81, 
CA2854, YSO-YZZ, 3898, YSO, Postville, 54.9105, -59.78507, YZZ, Trail, 49.0555992126, -117.60900116, 4, 09:38, 15:40, 232, 
CA1888, YYE-YIB, 2291, YYE, Fort Nelson, 58.8363990784, -122.597000122, YIB, Atikokan, 48.7738990784, -91.6386032104, 4, 18:40, 22:09, 232, 
CA3198, YJP-YNM, 2754, YJP, Hinton, 53.3191986084, -117.752998352, YNM, Matagami, 49.76169967651367, -77.80280303955078, 7, 23:30, 04:13, 81, 
CA2223, YWJ-YYC, 1658, YWJ, Deline, 65.21109771728516, -123.43599700927734, YYC, Calgary, 51.113899231, -114.019996643, 2, 07:40, 10:17, 232, 
CA1569, YVR-YZX, 4327, YVR, Vancouver, 49.193901062, -123.183998108, YZX, Greenwood, 44.98440170288086, -64.91690063476562, 5, 22:12, 05:25, 81, 
CA659, YNM-YOW, 519, YNM, Matagami, 49.76169967651367, -77.80280303955078, YOW, Ottawa, 45.3224983215332, -75.66919708251953, 2, 20:26, 21:17, 81, 
CA1013, YQB-YYZ, 731, YQB, Quebec, 46.7911, -71.393303, YYZ, Toronto, 43.6772003174, -79.63059997559999, 0, 07:46, 09:01, 145, 
CA562, YKF-YIK, 2114, YKF, Waterloo, 43.460800170899994, -80.3786010742, YIK, Ivujivik, 62.417301177978516, -77.92530059814453, 3, 10:49, 14:27, 110, 
CA2702, ILF-YGT, 1629, ILF, Ilford, 56.0614013672, -95.613899231, YGT, Igloolik, 69.3647003174, -81.8161010742, 4, 06:34, 09:34, 81, 
CA2519, YKQ-YPA, 1828, YKQ, Waskaganish, 51.47330093383789, -78.75830078125, YPA, Prince Albert, 53.214199066199996, -105.672996521, 4, 20:57, 00:09, 81, 
CA312, YFB-YSR, 1210, YFB, Iqaluit, 63.756402, -68.555801, YSR, Nanisivik, 72.982201, -84.613602, 6, 22:26, 00:26, 81, 
CA2752, ZMT-YCS, 2550, ZMT, Masset, 54.02750015258789, -132.125, YCS, Chesterfield Inlet, 63.346900939899996, -90.73110198970001, 2, 05:07, 09:05, 145, 
CA2668, YWP-YSK, 655, YWP, Webequie, 52.9593933975, -87.3748683929, YSK, Sanikiluaq, 56.5377998352, -79.2466964722, 3, 06:21, 07:25, 81, 
CA913, YQB-YGL, 882, YQB, Quebec, 46.7911, -71.393303, YGL, La Grande Riviere, 53.625301361083984, -77.7042007446289, 3, 20:35, 22:01, 110, 
CA350, YFS-KEW, 1939, YFS, Fort Simpson, 61.76020050048828, -121.23699951171875, KEW, Keewaywin, 52.991100311299995, -92.8364028931, 4, 13:31, 17:01, 81, 
CA2219, LAK-YIF, 4322, LAK, Aklavik, 68.223297, -135.00599, YIF, St-Augustin, 51.2117004395, -58.6582984924, 3, 16:10, 23:51, 81, 
CA715, YOW-YOC, 4368, YOW, Ottawa, 45.3224983215332, -75.66919708251953, YOC, Old Crow, 67.57060241699219, -139.83900451660156, 6, 17:29, 00:39, 110, 
CA1501, YVR-YQB, 3788, YVR, Vancouver, 49.193901062, -123.183998108, YQB, Quebec, 46.7911, -71.393303, 0, 11:05, 17:08, 81, 
CA714, YOW-YOC, 4368, YOW, Ottawa, 45.3224983215332, -75.66919708251953, YOC, Old Crow, 67.57060241699219, -139.83900451660156, 4, 19:23, 02:55, 110, 
CA1865, YYC-YGT, 2636, YYC, Calgary, 51.113899231, -114.019996643, YGT, Igloolik, 69.3647003174, -81.8161010742, 4, 21:01, 01:27, 145, 
CA1905, YYF-YKJ, 1265, YYF, Penticton, 49.46310043334961, -119.60199737548828, YKJ, Key Lake, 57.256099700927734, -105.61799621582031, 5, 09:45, 11:41, 232, 
CA2750, ZMT-ZFM, 1495, ZMT, Masset, 54.02750015258789, -132.125, ZFM, Fort Mcpherson, 67.40750122070312, -134.86099243164062, 4, 17:10, 19:33, 110, 
CA2161, YZV-YZH, 3245, YZV, Sept-iles, 50.22330093383789, -66.2656021118164, YZH, Slave Lake, 55.2930984497, -114.777000427, 5, 12:07, 17:13, 145, 
CA410, YHY-YSB, 2741, YHY, Hay River, 60.8396987915, -115.782997131, YSB, Sudbury, 46.625, -80.79889678955078, 3, 05:24, 09:37, 145, 
CA1906, YYH-YGW, 1770, YYH, Spence Bay, 69.5466995239, -93.5766983032, YGW, Kuujjuarapik, 55.281898498535156, -77.76529693603516, 3, 16:59, 20:13, 232, 
CA344, YFR-YPH, 1988, YFR, Fort Resolution, 61.1808013916, -113.690002441, YPH, Inukjuak, 58.471900939941406, -78.07689666748047, 5, 15:40, 18:58, 81, 
CA1764, YYC-YHZ, 3746, YYC, Calgary, 51.113899231, -114.019996643, YHZ, Halifax, 44.8807983398, -63.5085983276, 0, 10:16, 16:02, 81, 
CA748, YOW-YVR, 3553, YOW, Ottawa, 45.3224983215332, -75.66919708251953, YVR, Vancouver, 49.193901062, -123.183998108, 0, 07:00, 13:27, 232, 
CA532, YJN-YVR, 3724, YJN, St. Jean, 45.29439926147461, -73.28109741210938, YVR, Vancouver, 49.193901062, -123.183998108, 4, 23:37, 06:03, 110, 
CA3138, YCN-YUL, 681, YCN, Cochrane, 49.10559844970703, -81.01360321044922, YUL, Montreal, 45.4706001282, -73.7407989502, 4, 14:27, 15:34, 145, 
CA2253, YRG-HZP, 3263, YRG, Rigolet, 54.1796989440918, -58.45750045776367, HZP, Wood Buffalo, 57.3816986084, -111.700996399, 3, 13:56, 18:59, 232, 
CA306, YEV-YVR, 2200, YEV, Inuvik, 68.30419921880001, -133.483001709, YVR, Vancouver, 49.193901062, -123.183998108, 3, 13:12, 16:41, 110, 
CA1638, YWK-YLK, 1318, YWK, Wabush, 52.92190170288086, -66.8644027709961, YLK, Barrie-Orillia, 44.4852981567, -79.55560302730001, 1, 16:29, 18:38, 145, 
CA1264, YTZ-YGO, 1632, YTZ, Toronto, 43.627499, -79.396202, YGO, Gods Lake Narrows, 54.55889892578125, -94.49140167236328, 5, 21:46, 00:30, 110, 
CA111, YDL-YBL, 991, YDL, Dease Lake, 58.4221992493, -130.031997681, YBL, Campbell River, 49.950801849365234, -125.27100372314453, 2, 05:43, 07:19, 110, 
CA2528, YPJ-YOW, 1606, YPJ, Aupaluk, 59.29669952392578, -69.59970092773438, YOW, Ottawa, 45.3224983215332, -75.66919708251953, 2, 16:50, 19:16, 110, 
CA1065, YQG-YSC, 968, YQG, Windsor, 42.27560043334961, -82.95559692382812, YSC, Sherbrooke, 45.4385986328125, -71.69139862060547, 4, 09:57, 11:33, 81, 
CA2250, YHA-YSH, 1662, YHA, Port Hope Simpson, 52.528099060058594, -56.28609848022461, YSH, Smiths Falls, 44.94580078125, -75.94059753417969, 3, 19:49, 22:35, 145, 
CA2819, YBV-YTM, 1732, YBV, Berens River, 52.358898, -97.018303, YTM, Mont-Tremblant, 46.409400939899996, -74.7799987793, 4, 17:41, 20:28, 232, 
CA1267, YUB-YVQ, 532, YUB, Tuktoyaktuk, 69.43329620361328, -133.0260009765625, YVQ, Norman Wells, 65.28160095214844, -126.7979965209961, 5, 07:35, 08:33, 232, 
CA3116, YRQ-YHZ, 731, YRQ, Trois Rivieres, 46.35279846191406, -72.67939758300781, YHZ, Halifax, 44.8807983398, -63.5085983276, 2, 16:26, 17:32, 110, 
CA1194, YSB-YRJ, 673, YSB, Sudbury, 46.625, -80.79889678955078, YRJ, Roberval, 48.52000045776367, -72.2656021118164, 3, 07:27, 08:33, 232, 
CA174, YEG-YOW, 2850, YEG, Edmonton, 53.309700012200004, -113.580001831, YOW, Ottawa, 45.3224983215332, -75.66919708251953, 0, 05:29, 10:01, 110, 
CA1719, YXS-YUL, 3566, YXS, Prince George, 53.8894004822, -122.679000854, YUL, Montreal, 45.4706001282, -73.7407989502, 3, 21:55, 04:22, 232, 
CA1479, YVR-YHZ, 4430, YVR, Vancouver, 49.193901062, -123.183998108, YHZ, Halifax, 44.8807983398, -63.5085983276, 0, 06:58, 13:43, 81, 
CA3382, ZGF-YKZ, 3013, ZGF, Grand Forks, 49.01559829711914, -118.43099975585938, YKZ, Toronto, 43.86220169067383, -79.37000274658203, 6, 22:45, 04:19, 110, 
CA233, YEG-YYJ, 861, YEG, Edmonton, 53.309700012200004, -113.580001831, YYJ, Victoria, 48.646900177, -123.426002502, 3, 09:03, 10:37, 81, 
CA447, YHZ-YQQ, 4530, YHZ, Halifax, 44.8807983398, -63.5085983276, YQQ, Comox, 49.71080017089844, -124.88700103759766, 2, 11:31, 19:48, 81, 
CA2571, YUD-YZX, 1517, YUD, Umiujaq, 56.53609848022461, -76.51830291748047, YZX, Greenwood, 44.98440170288086, -64.91690063476562, 1, 05:11, 07:57, 145, 
CA2712, ZBF-YOW, 802, ZBF, Bathurst, 47.629699707, -65.738899231, YOW, Ottawa, 45.3224983215332, -75.66919708251953, 3, 21:40, 23:01, 145, 
CA613, YMJ-YZR, 1942, YMJ, Moose Jaw, 50.330299377441406, -105.55899810791016, YZR, Sarnia, 42.9994010925293, -82.30889892578125, 5, 15:41, 18:48, 110, 
CA99, YDA-YYZ, 4292, YDA, Dawson, 64.04309844970703, -139.1280059814453, YYZ, Toronto, 43.6772003174, -79.63059997559999, 2, 18:50, 02:08, 81, 
CA2674, YXN-YVR, 2366, YXN, Whale Cove, 62.24000167849999, -92.59809875490001, YVR, Vancouver, 49.193901062, -123.183998108, 3, 21:55, 02:00, 81, 
CA1739, YXX-YQH, 1300, YXX, Abbotsford, 49.025299072265625, -122.36100006103516, YQH, Watson Lake, 60.11640167236328, -128.82200622558594, 3, 05:58, 08:15, 232, 
CA12, YBB-YFB, 1085, YBB, Pelly Bay, 68.534401, -89.808098, YFB, Iqaluit, 63.756402, -68.555801, 3, 07:06, 08:45, 145, 
CA2092, YYZ-YSD, 2483, YYZ, Toronto, 43.6772003174, -79.63059997559999, YSD, Suffield, 50.266700744628906, -111.18299865722656, 6, 05:56, 09:45, 81, 
CA2723, ZBF-YLH, 1661, ZBF, Bathurst, 47.629699707, -65.738899231, YLH, Lansdowne House, 52.19559860229492, -87.93419647216797, 1, 19:09, 21:43, 232, 
CA2280, YNO-YYG, 2249, YNO, North Spirit Lake, 52.4900016784668, -92.97109985351562, YYG, Charlottetown, 46.290000915527344, -63.12110137939453, 2, 15:06, 19:09, 232, 
CA363, YGK-YUY, 475, YGK, Kingston, 44.22529983520508, -76.5969009399414, YUY, Rouyn, 48.20610046386719, -78.83560180664062, 1, 13:36, 14:23, 81, 
CA1765, YYC-YHZ, 3746, YYC, Calgary, 51.113899231, -114.019996643, YHZ, Halifax, 44.8807983398, -63.5085983276, 0, 05:18, 12:08, 145, 
CA2367, YAT-YHN, 446, YAT, Attawapiskat, 52.9275016784668, -82.43190002441406, YHN, Hornepayne, 49.19309997558594, -84.75890350341797, 6, 23:39, 00:24, 232, 
CA1231, YSY-YTR, 3978, YSY, Sachs Harbour, 71.9938964844, -125.242996216, YTR, Trenton, 44.118900299072266, -77.5280990600586, 6, 13:18, 19:49, 232, 
CA3026, YBI-YEM, 2045, YBI, Black Tickle, 53.4693984985, -55.784999847399995, YEM, Manitowaning, 45.84280014038086, -81.85810089111328, 6, 15:47, 19:06, 232, 
CA3164, YBW-YHZ, 4448, YBW, Bedwell Harbour, 48.75, -123.233001709, YHZ, Halifax, 44.8807983398, -63.5085983276, 5, 18:58, 01:56, 232, 
CA1970, YYZ-YEG, 2689, YYZ, Toronto, 43.6772003174, -79.63059997559999, YEG, Edmonton, 53.309700012200004, -113.580001831, 0, 11:47, 16:30, 145, 
CA2070, YYZ-YYD, 3587, YYZ, Toronto, 43.6772003174, -79.63059997559999, YYD, Smithers, 54.82469940185547, -127.18299865722656, 3, 06:48, 12:52, 81, 
CA1938, YYW-YCO, 2420, YYW, Armstrong, 50.29029846191406, -88.90969848632812, YCO, Coppermine, 67.816704, -115.143997, 3, 09:46, 13:26, 232, 
CA3269, YHT-YPW, 1466, YHT, Haines Junction, 60.78919982910156, -137.54600524902344, YPW, Powell River, 49.83420181274414, -124.5, 1, 14:01, 16:38, 110, 
CA2022, YYZ-YQB, 731, YYZ, Toronto, 43.6772003174, -79.63059997559999, YQB, Quebec, 46.7911, -71.393303, 0, 11:34, 12:42, 232, 
CA1243, YTH-YLD, 1331, YTH, Thompson, 55.80110168457031, -97.86419677734375, YLD, Chapleau, 47.81999969482422, -83.3467025756836, 4, 13:17, 15:31, 110, 
CA244, YEG-YYZ, 2689, YEG, Edmonton, 53.309700012200004, -113.580001831, YYZ, Toronto, 43.6772003174, -79.63059997559999, 0, 11:11, 15:53, 81, 
CA2323, ZLT-YEG, 3651, ZLT, La Tabatière, 50.8307991027832, -58.97560119628906, YEG, Edmonton, 53.309700012200004, -113.580001831, 3, 06:18, 12:32, 145, 
CA3276, YDG-YQB, 502, YDG, Digby, 44.5458450365, -65.7854247093, YQB, Quebec, 46.7911, -71.393303, 6, 11:27, 12:15, 110, 
CA2801, YVB-YSC, 557, YVB, Bonaventure, 48.07109832763672, -65.46029663085938, YSC, Sherbrooke, 45.4385986328125, -71.69139862060547, 2, 16:26, 17:27, 232, 
CA1152, YQY-YBW, 4622, YQY, Sydney, 46.1614, -60.047798, YBW, Bedwell Harbour, 48.75, -123.233001709, 4, 08:28, 15:33, 145, 
CA1246, YTH-ZFD, 679, YTH, Thompson, 55.80110168457031, -97.86419677734375, ZFD, Fond-Du-Lac, 59.33440017700195, -107.18199920654297, 6, 06:33, 07:35, 232, 
CA2424, YGO-YXX, 1998, YGO, Gods Lake Narrows, 54.55889892578125, -94.49140167236328, YXX, Abbotsford, 49.025299072265625, -122.36100006103516, 2, 22:55, 02:01, 110, 
CA2708, ILF-YBA, 1414, ILF, Ilford, 56.0614013672, -95.613899231, YBA, Banff, 51.207340469900004, -115.541861057, 7, 16:27, 19:02, 145, 
CA3267, YHT-YPW, 1466, YHT, Haines Junction, 60.78919982910156, -137.54600524902344, YPW, Powell River, 49.83420181274414, -124.5, 2, 17:57, 20:27, 145, 
CA2652, YSK-YEU, 2619, YSK, Sanikiluaq, 56.5377998352, -79.2466964722, YEU, Eureka, 79.9946975708, -85.814201355, 2, 23:38, 04:25, 232, 
CA3236, XRR-YPM, 2544, XRR, Ross River, 61.9706001282, -132.42300415, YPM, Pikangikum, 51.819698333740234, -93.97329711914062, 6, 19:23, 00:02, 232, 
CA1332, YUL-YVR, 3683, YUL, Montreal, 45.4706001282, -73.7407989502, YVR, Vancouver, 49.193901062, -123.183998108, 0, 05:33, 11:31, 145, 
CA2158, YZV-YOW, 888, YZV, Sept-iles, 50.22330093383789, -66.2656021118164, YOW, Ottawa, 45.3224983215332, -75.66919708251953, 2, 11:23, 12:44, 232, 
CA3005, YSD-YCW, 782, YSD, Suffield, 50.266700744628906, -111.18299865722656, YCW, Chilliwack, 49.1528015137, -121.939002991, 4, 20:04, 21:25, 232, 
CA2360, YKG-YCQ, 3012, YKG, Kangirsuk, 60.027198791503906, -69.99919891357422, YCQ, Chetwynd, 55.687198638916016, -121.62699890136719, 2, 18:51, 23:33, 81, 
CA607, YMA-YGX, 2378, YMA, Mayo, 63.61640167236328, -135.8679962158203, YGX, Gillam, 56.35749816894531, -94.71060180664062, 1, 23:12, 03:11, 232, 
CA1772, YYC-YHZ, 3746, YYC, Calgary, 51.113899231, -114.019996643, YHZ, Halifax, 44.8807983398, -63.5085983276, 0, 06:19, 12:02, 110, 
CA39, YBL-YDA, 1769, YBL, Campbell River, 49.950801849365234, -125.27100372314453, YDA, Dawson, 64.04309844970703, -139.1280059814453, 4, 13:43, 16:54, 232, 
CA2716, ZBF-YRB, 3315, ZBF, Bathurst, 47.629699707, -65.738899231, YRB, Resolute, 74.7169036865, -94.9693984985, 2, 07:10, 12:49, 81, 
CA356, YFS-JOJ, 984, YFS, Fort Simpson, 61.76020050048828, -121.23699951171875, JOJ, Doris Lake, 68.1252746582, -106.585281372, 2, 21:41, 23:15, 110, 
CA2245, YFX-MSA, 2397, YFX, St. Lewis, 52.372798919677734, -55.67390060424805, MSA, Muskrat Dam, 53.44139862060547, -91.76280212402344, 5, 19:29, 23:41, 110, 
CA1337, YUL-YVR, 3683, YUL, Montreal, 45.4706001282, -73.7407989502, YVR, Vancouver, 49.193901062, -123.183998108, 0, 09:36, 15:15, 81, 
CA383, YHB-YQA, 1883, YHB, Hudson Bay, 52.8166999817, -102.310997009, YQA, Muskoka, 44.974700927734375, -79.30329895019531, 4, 17:13, 20:39, 81, 
CA27, YBC-YXZ, 1225, YBC, Baie Comeau, 49.13249969482422, -68.20439910888672, YXZ, Wawa, 47.96670150756836, -84.78669738769531, 4, 20:54, 23:07, 232, 
CA1713, YXR-ZNA, 3212, YXR, Earlton, 47.697400654599996, -79.8473453522, ZNA, Nanaimo, 49.1833000183, -123.949996948, 2, 10:27, 15:26, 81, 
CA2937, YBY-YOW, 2674, YBY, Bonnyville, 54.304199, -110.744003, YOW, Ottawa, 45.3224983215332, -75.66919708251953, 2, 09:55, 14:05, 232, 
CA2170, YZW-YPG, 2437, YZW, Teslin, 60.17279815673828, -132.7429962158203, YPG, Portage-la-prairie, 49.903099, -98.273817, 5, 15:32, 19:22, 145, 
CA2846, YSO-YUL, 1440, YSO, Postville, 54.9105, -59.78507, YUL, Montreal, 45.4706001282, -73.7407989502, 3, 11:38, 14:09, 232, 
CA1096, YQK-YRO, 1478, YQK, Kenora, 49.788299560546875, -94.36309814453125, YRO, Ottawa, 45.4603004456, -75.64610290530001, 4, 05:45, 08:22, 81, 
CA1124, YQU-YOO, 3092, YQU, Grande Prairie, 55.1796989441, -118.885002136, YOO, Oshawa, 43.922798, -78.894997, 4, 06:51, 11:36, 110, 
CA66, YCL-YDQ, 3697, YCL, Charlo, 47.990799, -66.330299, YDQ, Dawson Creek, 55.7422981262207, -120.18299865722656, 1, 11:47, 17:27, 145, 
CA2863, YTF-YHZ, 739, YTF, Alma, 48.50889968869999, -71.64189910889999, YHZ, Halifax, 44.8807983398, -63.5085983276, 3, 15:34, 16:45, 81, 
CA1881, YYD-YYZ, 3587, YYD, Smithers, 54.82469940185547, -127.18299865722656, YYZ, Toronto, 43.6772003174, -79.63059997559999, 3, 15:43, 22:17, 81, 
CA488, YHZ-YYZ, 1288, YHZ, Halifax, 44.8807983398, -63.5085983276, YYZ, Toronto, 43.6772003174, -79.63059997559999, 0, 08:22, 10:27, 145, 
CA352, YFS-YSN, 1238, YFS, Fort Simpson, 61.76020050048828, -121.23699951171875, YSN, Salmon Arm, 50.682802, -119.228996, 5, 11:57, 14:10, 81, 
CA2928, YRS-YOW, 1611, YRS, Red Sucker Lake, 54.167198181152344, -93.55719757080078, YOW, Ottawa, 45.3224983215332, -75.66919708251953, 6, 20:12, 23:06, 145, 
CA2309, YKU-YYY, 942, YKU, Chisasibi, 53.805599212646484, -78.91690063476562, YYY, Mont Joli, 48.60860061645508, -68.20809936523438, 3, 08:06, 09:40, 110, 
CA22, YBC-YND, 684, YBC, Baie Comeau, 49.13249969482422, -68.20439910888672, YND, Gatineau, 45.521701812699995, -75.5635986328, 3, 23:08, 00:19, 110, 
CA365, YGQ-YDL, 2911, YGQ, Geraldton, 49.77830123901367, -86.93939971923828, YDL, Dease Lake, 58.4221992493, -130.031997681, 7, 16:42, 22:01, 81, 
CA1032, YQB-YST, 1830, YQB, Quebec, 46.7911, -71.393303, YST, St. Theresa Point, 53.84560012817383, -94.85189819335938, 2, 22:01, 00:53, 81, 
CA2439, YGW-YUL, 1127, YGW, Kuujjuarapik, 55.281898498535156, -77.76529693603516, YUL, Montreal, 45.4706001282, -73.7407989502, 1, 10:56, 13:00, 110, 
CA2959, YDT-YOW, 3543, YDT, Boundary Bay, 49.0742, -123.012001, YOW, Ottawa, 45.3224983215332, -75.66919708251953, 2, 12:55, 19:08, 145, 
CA517, YHZ-YVE, 4132, YHZ, Halifax, 44.8807983398, -63.5085983276, YVE, Vernon, 50.24810028076172, -119.33100128173828, 4, 21:23, 04:23, 81, 
CA954, YQB-YPL, 1459, YQB, Quebec, 46.7911, -71.393303, YPL, Pickle Lake, 51.4463996887207, -90.21420288085938, 3, 12:41, 15:05, 110, 
CA2892, XLB-YQY, 3069, XLB, Lac Brochet, 58.6175003052, -101.46900177, YQY, Sydney, 46.1614, -60.047798, 1, 15:13, 20:30, 232, 
CA2579, YNE-YRB, 2312, YNE, Norway House, 53.95830154418945, -97.84420013427734, YRB, Resolute, 74.7169036865, -94.9693984985, 3, 18:44, 22:28, 145, 
CA956, YQB-YQF, 3082, YQB, Quebec, 46.7911, -71.393303, YQF, Red Deer Industrial, 52.18220138549805, -113.89399719238281, 2, 06:52, 12:09, 145, 
CA1519, YVR-YUL, 3683, YVR, Vancouver, 49.193901062, -123.183998108, YUL, Montreal, 45.4706001282, -73.7407989502, 0, 09:53, 15:47, 232, 
CA446, YHZ-YQB, 646, YHZ, Halifax, 44.8807983398, -63.5085983276, YQB, Quebec, 46.7911, -71.393303, 0, 10:01, 11:05, 110, 
CA1180, YRJ-YNO, 1523, YRJ, Roberval, 48.52000045776367, -72.2656021118164, YNO, North Spirit Lake, 52.4900016784668, -92.97109985351562, 2, 21:51, 00:17, 232, 
CA1260, YTZ-YKY, 2380, YTZ, Toronto, 43.627499, -79.396202, YKY, Kindersley, 51.5175018311, -109.180999756, 7, 23:22, 03:09, 110, 
CA1958, YYZ-YDQ, 3152, YYZ, Toronto, 43.6772003174, -79.63059997559999, YDQ, Dawson Creek, 55.7422981262207, -120.18299865722656, 6, 05:19, 10:51, 81, 
CA3155, YCM-YVQ, 3802, YCM, Saint Catherines, 43.19169998168945, -79.17169952392578, YVQ, Norman Wells, 65.28160095214844, -126.7979965209961, 3, 12:16, 18:28, 145, 
CA2742, ZJN-LAK, 2528, ZJN, Swan River, 52.120601654052734, -101.23600006103516, LAK, Aklavik, 68.223297, -135.00599, 5, 18:35, 22:32, 232, 
CA1212, YSM-YYJ, 1462, YSM, Fort Smith, 60.020301818847656, -111.96199798583984, YYJ, Victoria, 48.646900177, -123.426002502, 1, 21:39, 00:01, 81, 
CA30, YBG-YKA, 3513, YBG, Bagotville, 48.33060073852539, -70.99639892578125, YKA, Kamloops, 50.7022018433, -120.444000244, 3, 22:18, 04:31, 232, 
CA1619, YWA-YEN, 1948, YWA, Petawawa, 45.95220184326172, -77.31919860839844, YEN, Estevan, 49.2103004456, -102.966003418, 3, 22:55, 01:57, 145, 
CA2965, YDT-ZBF, 4133, YDT, Boundary Bay, 49.0742, -123.012001, ZBF, Bathurst, 47.629699707, -65.738899231, 6, 17:20, 00:40, 81, 
CA1199, YSB-YXD, 2434, YSB, Sudbury, 46.625, -80.79889678955078, YXD, Edmonton, 53.5724983215, -113.521003723, 2, 15:52, 19:33, 110, 
CA2709, ILF-YBA, 1414, ILF, Ilford, 56.0614013672, -95.613899231, YBA, Banff, 51.207340469900004, -115.541861057, 3, 23:15, 01:39, 145, 
